r_def,t_loc_tri,ent,n_hog,sex,eda,cs_p12,cs_p13_1,e_con,ur,clase1,rama,ing7c,alta_educacion_ingreso_missing,pre_asa,tip_con_2,anios_esc,hrsocup,ing_x_hrs,mh_col
0,1,9,1,1,25,1,7,6,1,1,4,2,0,1,contrato,15,48,62.5,0
0,1,15,1,1,47,1,4,1,1,1,3,2,0,0,No_aplica,12,48,41.66667,1
0,1,15,1,2,45,1,7,1,1,1,3,6,0,0,No_aplica,16,6,0,1
0,1,15,1,1,28,1,3,5,1,1,3,3,0,0,No_aplica,9,40,125,1
0,1,15,1,1,56,1,3,5,1,1,2,3,0,1,contrato,9,40,98.83721,0
0,1,15,1,1,47,1,4,6,1,1,4,2,0,1,contrato,12,48,0,0
0,3,15,1,2,23,1,4,2,1,1,4,1,0,1,contrato,12,48,0,0
0,1,15,1,1,36,1,3,5,1,1,2,2,0,1,contrato,9,44,0,0
0,2,15,1,1,34,1,2,1,1,1,4,1,0,2,sin_contrato,6,63,23.80952,1
0,2,15,1,2,32,1,3,1,1,1,4,1,0,2,sin_contrato,9,10,20,1
0,2,15,1,2,28,1,7,6,1,1,4,1,0,1,contrato,16,40,0,0
0,1,15,1,1,52,1,7,5,1,1,2,2,0,1,contrato,16,45,62.0155,0
0,1,15,1,1,40,1,7,5,1,1,3,5,0,0,No_aplica,17,55,338.26638,0
0,1,15,1,2,53,1,4,6,1,1,3,7,0,1,contrato,12,40,0,0
0,1,15,1,1,42,1,4,2,1,1,4,2,0,1,contrato,12,64,43.60465,0
0,1,15,1,2,45,1,4,6,1,1,4,2,0,2,sin_contrato,12,42,59.52381,1
0,1,15,1,1,37,1,2,6,1,1,1,2,0,1,contrato,3,49,65.11628,0
0,1,15,1,1,35,1,8,5,1,1,4,2,0,1,contrato,18,40,0,0
0,1,15,1,1,65,1,3,6,1,1,1,1,0,2,sin_contrato,9,15,66.66667,1
0,1,15,1,2,63,1,2,3,1,1,2,1,0,2,sin_contrato,6,32,31.25,1
0,1,15,1,2,32,1,7,5,1,1,3,1,0,0,No_aplica,16,50,30,1
0,1,15,1,2,57,1,2,5,1,1,3,7,0,1,sin_contrato,6,60,0,1
0,2,15,1,1,59,1,3,5,1,1,3,1,0,1,sin_contrato,9,48,0,0
0,2,15,1,1,28,1,7,6,1,1,4,7,1,1,contrato,15,0,0,0
0,3,15,1,1,32,1,3,5,1,1,3,2,0,1,sin_contrato,9,50,36,1
0,1,15,1,2,50,1,7,5,1,1,4,3,0,1,contrato,17,40,116.27907,0
0,1,15,1,2,39,1,2,6,1,1,2,2,0,1,contrato,3,48,0,0
0,2,15,1,2,41,1,2,5,1,1,4,1,0,1,contrato,6,48,0,0
0,3,15,1,1,31,1,7,1,1,1,2,2,0,1,contrato,17,48,0,0
0,1,15,1,2,33,1,6,6,1,1,2,2,0,1,contrato,12,40,50,0
0,1,15,1,2,45,1,3,6,1,1,4,2,0,1,sin_contrato,9,48,37.5,1
0,3,15,1,2,33,1,3,1,1,1,4,1,0,2,sin_contrato,9,40,20,1
0,3,15,1,1,30,1,3,1,1,1,3,2,0,2,sin_contrato,9,48,0,1
0,1,15,1,1,38,1,3,6,1,1,4,1,0,1,contrato,9,40,0,0
0,2,15,1,2,24,1,4,1,1,1,3,2,0,1,contrato,12,48,0,0
0,1,15,1,1,58,1,7,5,1,1,4,1,0,0,No_aplica,17,18,0,1
0,1,15,1,2,45,1,6,5,1,1,3,1,0,2,sin_contrato,12,48,24.22481,1
0,2,15,1,1,50,1,4,5,1,1,4,2,0,0,No_aplica,12,49,49.83389,1
0,2,15,1,2,23,1,6,6,1,1,4,6,0,0,No_aplica,12,48,0,1
0,3,15,1,1,35,1,4,5,1,1,3,2,0,0,No_aplica,11,72,0,1
0,2,15,1,1,45,1,7,6,2,1,4,3,0,0,No_aplica,17,36,96.89922,0
0,3,15,1,2,23,1,3,6,2,1,3,1,0,2,sin_contrato,8,48,20.83333,1
0,3,15,1,1,30,1,4,1,2,1,2,2,0,1,contrato,12,48,56.25,0
0,3,15,1,2,58,1,3,5,2,1,4,7,0,1,sin_contrato,9,40,0,0
0,3,15,1,2,55,1,2,4,2,1,3,3,0,0,No_aplica,6,56,62.29236,0
0,4,15,1,2,38,1,4,5,2,1,2,1,0,2,sin_contrato,12,35,17.14286,1
0,4,15,1,2,45,1,3,5,2,1,4,1,0,2,sin_contrato,8,35,37.14286,1
0,4,15,1,1,39,1,3,5,2,1,1,1,0,2,sin_contrato,9,46,32.6087,1
0,4,15,1,1,28,1,7,6,2,1,2,7,1,1,contrato,17,48,0,0
0,4,15,1,1,69,1,2,1,2,1,6,1,0,2,sin_contrato,6,48,18.75,1
0,1,9,1,1,48,1,7,1,1,1,4,5,0,1,contrato,16,40,290.69767,0
0,1,9,1,2,28,1,3,4,1,1,4,2,0,2,sin_contrato,9,50,35,1
0,1,9,1,1,50,1,2,1,1,1,4,2,0,1,contrato,6,54,33.33333,0
0,1,9,1,2,36,1,7,6,1,1,4,2,0,1,contrato,16,38,73.43941,0
0,1,9,1,1,43,1,7,1,1,1,4,4,0,1,contrato,14,32,174.4186,0
0,1,9,1,1,19,1,4,6,1,1,4,1,0,1,sin_contrato,11,32,36.33721,1
0,1,9,1,2,63,1,3,5,1,1,4,1,0,1,contrato,9,48,0,0
0,1,9,1,2,63,1,2,4,1,1,3,1,0,0,No_aplica,6,9,46.51163,1
0,1,9,1,2,35,1,7,6,1,1,2,1,0,1,contrato,17,40,0,0
0,1,9,1,2,36,1,7,6,1,1,4,1,0,1,contrato,16,16,0,0
0,1,9,1,1,55,1,7,1,1,1,4,2,0,1,contrato,16,32,72.67442,0
0,1,9,1,1,26,1,4,6,1,1,2,1,0,2,sin_contrato,12,6,0,1
0,1,9,1,2,49,1,4,5,1,1,4,1,0,1,sin_contrato,12,6,66.66667,1
0,2,9,1,1,27,1,6,6,1,1,1,2,0,2,contrato,12,46,0,0
